comment_id,video_id,parent_id,is_reply,author,text,likes,published_at,updated_at,reply_count
UgwFzjhw2iqHWOP4-zd4AaABAg,kn0IZelsCoM,,False,@afaq9424,Now it's 115k 😂,0,2025-08-23T20:17:44Z,2025-08-23T20:17:44Z,0
UgzxyTDkhTzdqTWUYrV4AaABAg,kn0IZelsCoM,,False,@funlearning5809,waqar zaka mjy apna assistant bana lo,0,2025-07-08T15:16:03Z,2025-07-08T15:16:03Z,0
UgyijQTwOLuZUUadXoJ4AaABAg,kn0IZelsCoM,,False,@MuhammadHaris-hw5xp,Respect to Sir Waqar Zaka.,0,2025-06-23T11:18:15Z,2025-06-23T11:18:15Z,0
UgwFUPI1T896u8hzmlp4AaABAg,kn0IZelsCoM,,False,@GulzarHassan-w2w,Weldone Waqar Zaka for thinking Pakistan and Pakistanis,0,2025-06-03T06:02:42Z,2025-06-03T06:02:42Z,0
Ugw0l3uoKOyf43gq-xJ4AaABAg,kn0IZelsCoM,,False,@DrSayedZohaib,Abay darial crypto haram hae Ghair Sharai hae 😮tujy shadeed tabligh k zaroort hae,0,2025-04-03T11:23:58Z,2025-04-03T11:23:58Z,0
UgxlO9eAQY9s807wXUx4AaABAg,kn0IZelsCoM,,False,@thelightemam,Waqar Bhai Love hain ap aur Azad Bhai ka to Level e aur hai ❤,0,2025-04-02T23:40:04Z,2025-04-02T23:40:04Z,0
UgxqzwNz2AAy22-95nV4AaABAg,kn0IZelsCoM,,False,@mtalibjan4084,I want to learn about crypto,0,2025-03-06T11:13:02Z,2025-03-06T11:13:02Z,0
Ugyz5AdNvQVLAxN0u554AaABAg,kn0IZelsCoM,,False,@JunaidKhan-q5x,Salute Waqar zaka respect such personalities Not many think about nation first🎉,2,2025-02-26T19:52:50Z,2025-02-26T19:55:32Z,0
Ugyierc6rLFoLf4QC7x4AaABAg,kn0IZelsCoM,,False,@JunaidKhan-q5x,Azad Chaiwala Sitting On sofa exactly Like a chaiwala😂,1,2025-02-26T19:20:22Z,2025-02-26T19:20:22Z,0
UgxVvHRFh9ipkhxEX294AaABAg,kn0IZelsCoM,,False,@ahtishamnadeem1314,waoo this is what we want for future from pakistan waqar zaka and azad chaiwala THUMBS UP !,0,2025-02-24T17:46:34Z,2025-02-24T17:46:34Z,0
Ugxlpjk0CDhfldjN9Tt4AaABAg,kn0IZelsCoM,,False,@dumbobilal,Gambling is a skill?,0,2025-02-05T21:24:48Z,2025-02-05T21:24:48Z,0
UgxXnkrnM3ZBjjgd8xp4AaABAg,kn0IZelsCoM,,False,@ZeeshanAli-l1o2r,Great job ❤,0,2025-01-22T14:52:06Z,2025-01-22T14:52:06Z,0
UgxKcLni4bp6HkXvmRF4AaABAg,kn0IZelsCoM,,False,@kashmalakiyani6026,Sir many scholars say crypto is haram in Islam. Could you explain it? Either is it haram or halal??,0,2025-01-10T17:37:16Z,2025-01-10T17:37:16Z,0
UgzwZMWOZWTspXwtQ6d4AaABAg,kn0IZelsCoM,,False,@syedtaufeeqhaider4042,25:59 lines ❤❤,1,2025-01-10T12:47:02Z,2025-01-10T12:47:02Z,0
Ugw9oBWOkJl-z-_8m4x4AaABAg,kn0IZelsCoM,,False,@Amazon_gad,pehlay to ye faisla karen k crypto halal hay ya haram aj tak ulama eska faisla nahi kar sakay  k ye halal hay ya haram,1,2024-12-31T19:16:13Z,2024-12-31T19:16:13Z,0
Ugyp_CoM8o9wvy2Lrp54AaABAg,kn0IZelsCoM,,False,@mubeenali8331,Haram kha lo tum sab shortcut maro,0,2024-12-30T08:05:13Z,2024-12-30T08:05:13Z,0
Ugzk5AbIiWiayO0vsU94AaABAg,kn0IZelsCoM,,False,@muhammadkhalilurrehman,804K vewz,0,2024-12-28T21:38:10Z,2024-12-28T21:38:10Z,0
UgzuOWxY6F1KhiE-RTp4AaABAg,kn0IZelsCoM,,False,@deebaparveen6010,I want to serve human physically &spirutally  can you help me,0,2024-12-06T11:06:49Z,2024-12-06T11:06:49Z,0
UgzbSxlwq44zWqYqZyR4AaABAg,kn0IZelsCoM,,False,@mubasherrehman8142,Great waqar zaka,1,2024-12-06T10:29:02Z,2024-12-06T10:29:02Z,0
UgwsMSYFiAsJU66N_6l4AaABAg,kn0IZelsCoM,,False,@Qaim-j6m,one of the best talks ive heard so far.......... See you BLOCK CHAIN,0,2024-12-04T08:15:58Z,2024-12-04T08:15:58Z,0
